Date,Rocket-TVL,market_cap
2023-06-15,1617090570,762435952.4932935
2023-06-16,1633418829,778813653.4794368
2023-06-17,1690941140,798590845.5964293
2023-06-18,1699375843,802945240.59644
2023-06-19,1701239358,799551063.9973702
2023-06-20,1702275944,789674206.3454475
2023-06-21,1776973703,811541926.6902616
2023-06-22,1869933529,799678174.9432148
2023-06-23,1841410235,797524578.1952692
2023-06-24,1845990644,791686839.3437941
2023-06-25,1822571617,748464324.5944461
2023-06-26,1843464219,753928677.0483991
2023-06-27,1817276694,729535787.405515
2023-06-28,1823530665,739522254.2120396
2023-06-29,1782810035,714978071.0425948
2023-06-30,1810433739,726422661.6503502
2023-07-01,1893250953,751207983.0468713
2023-07-02,1870277665,733509264.118215
2023-07-03,1902909788,737811732.4329813
2023-07-04,1929083276,762704130.3813379
2023-07-05,1914191643,754437619.9453696
2023-07-06,1883758276,748421119.3049115
2023-07-07,1827488529,725327455.48998
2023-07-08,1850080766,710125818.5647122
2023-07-09,1848714864,706574279.1955048
2023-07-10,1848558324,706072810.3488239
2023-07-11,1863818845,698433523.4074693
2023-07-12,1874657662,711720007.6838424
2023-07-13,1877210203,701126947.9043392
2023-07-14,2023457304,742683587.0894523
2023-07-15,1941279690,715908116.2055485
2023-07-16,1943875569,710681120.707206
2023-07-17,1928333640,697081060.0391253
2023-07-18,1914216636,679603296.5783255
2023-07-19,1905860799,662055522.5457509
2023-07-20,1880733373,637008559.504047
2023-07-21,1855549631,589771175.3938254
2023-07-22,1901234015,603684888.3476626
2023-07-23,1871859713,596101618.4275578
2023-07-24,1910907382,625050633.4089415
2023-07-25,1846386519,580714305.6259863
2023-07-26,1852287271,578607126.1382539
2023-07-27,1865012260,577539448.0396781
2023-07-28,1866654325,582768654.9585088
2023-07-29,1880633136,576059300.027733
2023-07-30,1886666230,575529302.3178993
2023-07-31,1879520769,574813305.1589456
2023-08-01,1858604227,571593071.4728849
2023-08-02,1879870334,582452061.0329643
2023-08-03,1853286180,564572505.9193646
2023-08-04,1845617134,554607448.9881507
2023-08-05,1845834913,548771477.2840081
2023-08-06,1858733661,546952600.5471299
2023-08-07,1853383104,549406215.6866615
2023-08-08,1853538767,526103316.3754528
2023-08-09,1858252285,504369940.0343792
2023-08-10,1887587302,536260046.9749441
2023-08-11,1891591645,560891543.5297272
2023-08-12,1880810534,535653222.36383104
2023-08-13,1885142187,540737209.0965961
2023-08-14,1873106244,524040474.4949682
2023-08-15,1881896057,531618023.6406503
2023-08-16,1859634775,517117763.1543511
2023-08-17,1835097682,534896900.3530441
2023-08-18,1740216976,502247281.7583159
2023-08-19,1709385705,483022061.024366
2023-08-20,1722551409,493166871.5625065
2023-08-21,1729452546,492169628.3360031
2023-08-22,1717309127,488537043.0354288
2023-08-23,1675924084,466780201.6738119
2023-08-24,1741810478,481967773.5470377
2023-08-25,1718886895,470321946.6108872
2023-08-26,1708907747,461879490.0180388
2023-08-27,1700779494,447695340.7749786
2023-08-28,1718028010,450651488.718828
2023-08-29,1720851666,449939479.5145015
2023-08-30,1800339180,469872457.8907605
2023-08-31,1784058901,469293082.5026641
2023-09-01,1725706138,441796896.9312828
2023-09-02,1719619130,436252595.4629383
2023-09-03,1721230647,434568559.3708716
2023-09-04,1722370382,433507101.8353691
2023-09-05,1736765129,471172544.06783086
2023-09-06,1741361254,456044731.887448
2023-09-07,1746232751,452658325.09494776
