,Date,Timestamp,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido
,,,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking
,,,terra,moonriver,moonbeam,ethereum,solana,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot
,26/02/2021,1614297600,0,,,294421081.343214,,294421081.343214,,,,294421081.343214,,,,294421081.343214,,,,,,,,,,181692.10249956534,,,,181692.10249956534,,,,,,
,27/02/2021,1614384000,0,,,270362309.3174485,,270362309.3174485,,,,270362309.3174485,,,,270362309.3174485,,,,,,,,,,182025.6973874684,,,,182025.6973874684,,,,,,
,28/02/2021,1614470400,0,,,269803675.94705355,,269803675.94705355,,,,269803675.94705355,,,,269803675.94705355,,,,,,,,,,182378.3579275885,,,,182378.3579275885,,,,,,
,01/03/2021,1614556800,0,,,250111049.094379,,250111049.094379,,,,250111049.094379,,,,250111049.094379,,,,,,,,,,182467.05154056987,,,,182467.05154056987,,,,,,
,02/03/2021,1614643200,0,,,279680304.4492245,,279680304.4492245,,,,279680304.4492245,,,,279680304.4492245,,,,,,,,,,182950.38447767755,,,,182950.38447767755,,,,,,
,03/03/2021,1614729600,0,,,284790615.1831691,,284790615.1831691,,,,284790615.1831691,,,,284790615.1831691,,,,,,,,,,183153.2100343209,,,,183153.2100343209,,,,,,
,04/03/2021,1614816000,0,,,294543162.56718147,,294543162.56718147,,,,294543162.56718147,,,,294543162.56718147,,,,,,,,,,183242.4572113813,,,,183242.4572113813,,,,,,
,05/03/2021,1614902400,0,,,287090601.5822907,,287090601.5822907,,,,287090601.5822907,,,,287090601.5822907,,,,,,,,,,183704.63015448698,,,,183704.63015448698,,,,,,
,06/03/2021,1614988800,0,,,272111645.803876,,272111645.803876,,,,272111645.803876,,,,272111645.803876,,,,,,,,,,183933.68323358134,,,,183933.68323358134,,,,,,
,07/03/2021,1615075200,0,,,288340247.01201546,,288340247.01201546,,,,288340247.01201546,,,,288340247.01201546,,,,,,,,,,184032.77925431536,,,,184032.77925431536,,,,,,
,08/03/2021,1615161600,0,,,308683748.1326859,,308683748.1326859,,,,308683748.1326859,,,,308683748.1326859,,,,,,,,,,184094.76791519404,,,,184094.76791519404,,,,,,
,09/03/2021,1615248000,0,,,316855760.4021459,,316855760.4021459,,,,316855760.4021459,,,,316855760.4021459,,,,,,,,,,184481.73541479418,,,,184481.73541479418,,,,,,
,10/03/2021,1615334400,0,,,337615557.6198189,,337615557.6198189,,,,337615557.6198189,,,,337615557.6198189,,,,,,,,,,184989.60254845463,,,,184989.60254845463,,,,,,
