Date,Stader-TVL-total,market_cap
2023-06-12,81861909.99,23099286.021325734
2023-06-13,82326347.26,22697884.162038542
2023-06-14,84848990.66,22628738.89855722
2023-06-15,82310338.33,19481852.87727585
2023-06-16,77850519.19,19643289.991295617
2023-06-17,78940754.05,19700308.15027484
2023-06-18,81212509.16,19959527.562790025
2023-06-19,80435079.1,19757807.91394637
2023-06-20,82516502.62,20284184.264485013
2023-06-21,86395982.08,20896839.280943144
2023-06-22,92260614.4,21972841.121026777
2023-06-23,89291292.93,23309891.26253651
2023-06-24,91480684.66,22857613.118047874
2023-06-25,89345538.52,22316925.908350177
2023-06-26,90555050.71,22288299.188958623
2023-06-27,89877470.5,22641250.650347937
2023-06-28,89414405,22381918.640819658
2023-06-29,85163879.74,22176327.090449765
2023-06-30,86646892.81,22056129.83445195
2023-07-01,91247977.37,22957640.54326722
2023-07-02,92385758.47,24176146.99549142
2023-07-03,92605435.01,29124232.144400373
2023-07-04,95458223.41,31604500.78818504
2023-07-05,93532039.53,32865918.28389321
2023-07-06,89843267.01,34580324.76213453
2023-07-07,88688431,33641439.489609815
2023-07-08,91604241.89,31800091.08991347
2023-07-09,92695010.84,29469432.99549028
2023-07-10,92218490.92,29234508.958784573
2023-07-11,97820508.94,27698831.58785481
2023-07-12,108857285.3,25288742.855211668
2023-07-13,107412538.9,25918275.22733433
2023-07-14,124384517.2,25453265.50022324
2023-07-15,117301036.8,24879826.594182264
2023-07-16,117870649.6,23990184.47844977
2023-07-17,113965213.4,23421564.33668271
2023-07-18,117408461.1,25333052.53918798
2023-07-19,119008538.1,25841215.361032747
2023-07-20,121030499.3,24064526.88892254
2023-07-21,121518085.6,22963672.18975611
2023-07-22,122461284,22590596.55598156
2023-07-23,118112967.7,22510445.9664903
2023-07-24,122136320.6,23002470.2841196
2023-07-25,117922298.9,22913635.922468096
2023-07-26,116594002.2,22362183.71729435
2023-07-27,117500429.9,22390602.141799003
2023-07-28,117810378.9,22438498.56903117
2023-07-29,119980517.1,22546438.894289583
2023-07-30,121173298.6,22323476.86197694
2023-07-31,120162799.1,22289118.861073785
2023-08-01,118350422.8,22340758.26510442
2023-08-02,119660484.8,22283820.27027629
2023-08-03,120228912.5,22273151.672154862
2023-08-04,117696416.7,22398228.28940317
